# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Apr 25 18:51:06 2019
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
2MASS J19383260+4603591 b,Eclipse Timing Variations,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,,,,,1.90000,0.10000,-0.10000,0,,,,,,,,,,,,,0.48,0.03,-0.03,0,,,,,,,,,,,,
2MASS J21402931+1625183 A b,Imaging,7336.50000000,1934.50000000,-584.00000000,0,,,,,0.260000,0.060000,-0.060000,0,20.95000,83.79000,-20.95000,0,0.920,0.390,-0.360,0,,,,,2300.00,80.00,-80.00,0,0.08,0.06,-0.06,0,0.12,0.05,-0.04,0,2075,70,-70,0,-3.480,0.350,-0.350,0
2MASS J22362452+4751425 b,Imaging,,,,,230.000000,20.000000,-20.000000,0,,,,,12.50000,1.50000,-1.50000,0,,,,,,,,,4045.00,35.00,-35.00,0,0.60,0.05,-0.05,0,,,,,,,,,,,,
30 Ari B b,Radial Velocity,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,0.290000,0.090000,-0.090000,0,13.82000,1.80000,-1.80000,0,,,,0,,,,0,6331.00,61.00,-61.00,0,1.93,0.27,-0.27,0,1.41,0.05,-0.05,0,,,,0,,,,0
4 UMa b,Radial Velocity,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,0.432000,0.024000,-0.024000,0,7.10000,1.60000,-1.60000,0,,,,,,,,,4415.00,70.00,-70.00,0,1.23,0.15,-0.15,0,18.11,1.47,-1.47,0,,,,,,,,
42 Dra b,Radial Velocity,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,0.380000,0.060000,-0.060000,0,3.88000,0.85000,-0.85000,0,,,,,,,,,4200.00,70.00,-70.00,0,0.98,0.05,-0.05,0,22.03,1.00,-1.00,0,,,,,,,,
47 UMa b,Radial Velocity,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,0.032000,0.014000,-0.014000,0,2.53000,0.07000,-0.06000,0,,,,,,,,,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,,,,,,,,
47 UMa c,Radial Velocity,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,0.098000,0.047000,-0.096000,0,0.54000,0.06600,-0.07300,0,,,,,,,,,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,,,,,,,,
47 UMa d,Radial Velocity,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,0.160000,0.090000,-0.160000,0,1.64000,0.29000,-0.48000,0,,,,,,,,,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,,,,,,,,
51 Eri b,Imaging,,,,0,13.200000,0.200000,-0.200000,0,,,,,2.00000,,,0,,,,,,,,,,,,,1.75,0.05,-0.05,0,,,,,700,,,0,0.850,0.060,-0.060,0
51 Peg b,Radial Velocity,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,0.013000,0.012000,-0.012000,0,0.47200,0.03900,-0.03900,0,,,,,,,,,5793.00,70.00,-70.00,0,1.12,0.06,-0.06,0,1.20,,,0,,,,,,,,
55 Cnc b,Radial Velocity,14.65152000,0.00015000,-0.00015000,0,0.115227,0.000001,-0.000001,0,0.003400,0.003200,-0.003200,0,0.83060,0.00330,-0.00330,0,,,,,,,,,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,,,,,-0.235,0.010,-0.011,0
55 Cnc c,Radial Velocity,44.41750000,0.00730000,-0.00730000,0,0.241376,0.000026,-0.000026,0,0.020000,0.031000,-0.031000,0,0.17140,0.00550,-0.00550,0,,,,,,,,,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,,,,,-0.235,0.010,-0.011,0
55 Cnc d,Radial Velocity,4825.00000000,39.00000000,-39.00000000,0,5.503000,0.030000,-0.030000,0,0.019000,0.013000,-0.013000,0,3.87800,0.06800,-0.06800,0,,,,,,,,,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,,,,,-0.235,0.010,-0.011,0
55 Cnc e,Radial Velocity,0.73653900,0.00000700,-0.00000700,0,0.015440,0.000090,-0.000090,0,,,,0,0.02542,0.00098,-0.00098,0,0.170,0.007,-0.007,0,6.40000,0.80000,-0.70000,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,,,,0,-0.235,0.010,-0.011,0
55 Cnc f,Radial Velocity,262.00000000,0.51000000,-0.51000000,0,0.788000,0.001000,-0.001000,0,0.305000,0.075000,-0.075000,0,0.14100,0.01200,-0.01200,0,,,,,,,,,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,,,,,-0.235,0.010,-0.011,0
6 Lyn b,Radial Velocity,934.30000000,8.60000000,-8.60000000,0,2.110000,0.110000,-0.110000,0,0.073000,0.036000,-0.036000,0,2.01000,0.07700,-0.07700,0,,,,,,,,0,4938.00,,,0,1.44,,,0,5.20,,,0,,,,0,,,,0
61 Vir b,Radial Velocity,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,0.120000,0.110000,-0.110000,0,0.01600,0.00200,-0.00200,0,,,,,,,,,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,,,,,-0.095,0.003,-0.003,0
61 Vir c,Radial Velocity,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,0.140000,0.060000,-0.060000,0,0.05700,0.00300,-0.00300,0,,,,,,,,,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,,,,,-0.095,0.003,-0.003,0
61 Vir d,Radial Velocity,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,0.350000,0.090000,-0.090000,0,0.07200,0.00800,-0.00800,0,,,,,,,,,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,,,,,-0.095,0.003,-0.003,0
7 CMa b,Radial Velocity,796.00000000,7.40000000,-7.40000000,0,1.930000,0.010000,-0.010000,0,0.220000,0.070000,-0.070000,0,2.46000,0.14000,-0.14000,0,,,,,,,,,4792.00,100.00,-100.00,0,1.52,0.30,-0.30,0,2.30,0.10,-0.10,0,,,,,1.053,0.011,-0.012,0
70 Vir b,Radial Velocity,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,0.398800,0.001900,-0.001900,0,7.41600,0.05700,-0.05700,0,,,,,,,,0,5495.00,,,0,1.09,,,0,1.89,,,0,,,,0,,,,0
75 Cet b,Radial Velocity,691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,0.117000,0.048000,-0.048000,0,3.00000,,,0,,,,,,,,,4846.00,18.00,-18.00,0,2.49,0.02,-0.27,0,10.50,1.00,-1.00,0,,,,,1.730,,,0
8 UMi b,Radial Velocity,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,0.060000,0.090000,-0.090000,0,1.31000,0.16000,-0.16000,0,,,,0,,,,0,4847.00,7.00,-7.00,0,1.44,0.19,-0.19,0,10.30,0.57,-0.57,0,,,,0,,,,0
81 Cet b,Radial Velocity,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,0.206000,0.029000,-0.029000,0,5.30000,,,0,,,,,,,,,4785.00,25.00,-25.00,0,2.40,0.10,-0.40,0,11.00,2.00,-1.00,0,,,,,1.778,,,0
91 Aqr b,Radial Velocity,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,0.027000,0.026000,-0.026000,0,3.20000,,,0,,,,,,,,,4665.00,18.00,-18.00,0,1.40,0.10,-0.10,0,11.00,0.10,-0.10,0,,,,,,,,
AB Pic b,Imaging,,,,,260.000000,,,0,,,,,13.50000,0.50000,-0.50000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD+03 2562 b,Radial Velocity,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,0.200000,0.120000,-0.080000,0,6.40000,1.30000,-1.30000,0,,,,,,,,,4095.00,20.00,-20.00,0,1.14,0.25,-0.25,0,32.35,8.82,-8.82,0,,,,,2.700,0.140,-0.140,0
BD+14 4559 b,Radial Velocity,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,0.290000,0.030000,-0.030000,0,1.04000,0.47000,-0.47000,0,,,,0,,,,0,4864.00,101.00,-101.00,0,0.49,0.33,-0.33,0,0.86,0.04,-0.04,0,,,,0,,,,0
BD+15 2375 b,Radial Velocity,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,0.001000,0.250000,-0.001000,0,1.06100,0.27000,-0.27000,0,,,,,,,,,4649.00,30.00,-30.00,0,1.08,0.14,-0.14,0,8.95,1.45,-1.45,0,,,,,1.570,0.100,-0.100,0
BD+15 2940 b,Radial Velocity,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,0.260000,0.100000,-0.100000,0,1.11000,,,0,,,,,,,,,4796.00,117.00,-117.00,0,1.10,0.20,-0.20,0,14.70,2.80,-2.80,0,,,,,2.010,0.750,-0.750,0
BD+20 2457 b,Radial Velocity,379.63000000,2.00000000,-2.00000000,0,1.050000,0.070000,-0.070000,0,0.150000,0.030000,-0.030000,0,55.59000,78.55000,-78.55000,0,,,,0,,,,0,4259.00,64.00,-64.00,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,,,,0,,,,0
BD+20 2457 c,Radial Velocity,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,0.180000,0.060000,-0.060000,0,12.47000,,,0,,,,,,,,,4259.00,64.00,-64.00,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,,,,,,,,0
BD+20 274 b,Radial Velocity,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,0.210000,0.060000,-0.060000,0,4.20000,,,0,,,,,,,,,4296.00,10.00,-10.00,0,0.80,0.20,-0.20,0,17.30,0.90,-0.90,0,,,,,1.960,0.180,-0.180,0
BD+20 594 b,Transit,41.68550000,0.00300000,-0.00300000,0,,,,0,0.000000,,,0,0.07000,0.03000,-0.03000,0,0.230,0.010,-0.010,0,,,,0,5766.00,99.00,-99.00,0,1.67,0.40,-0.40,0,1.08,0.06,-0.06,0,,,,0,,,,0
BD+48 738 b,Radial Velocity,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,0.200000,0.100000,-0.100000,0,0.91000,,,0,,,,,,,,,4414.00,15.00,-15.00,0,0.74,0.39,-0.39,0,11.00,1.00,-1.00,0,,,,,1.690,0.330,-0.330,0
BD+48 740 b,Radial Velocity,733.00000000,5.00000000,-8.00000000,0,1.700000,0.100000,-0.100000,0,0.760000,0.050000,-0.090000,0,1.70000,0.70000,-0.70000,0,,,,0,,,,0,4534.00,8.00,-8.00,0,1.09,0.16,-0.16,0,10.33,1.81,-1.81,0,,,,0,1.640,0.120,-0.120,0
BD+49 828 b,Radial Velocity,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,0.350000,0.240000,-0.100000,0,1.60000,0.40000,-0.20000,0,,,,,,,,,4943.00,30.00,-30.00,0,1.52,0.22,-0.22,0,7.60,1.30,-1.30,0,,,,,1.470,0.130,-0.130,0
BD-06 1339 b,Radial Velocity,3.87280000,0.00040000,-0.00040000,0,0.042800,0.000700,-0.000700,0,0.000000,,,0,0.02700,0.00400,-0.00400,0,,,,,,,,,4324.00,100.00,-100.00,0,0.70,,,0,,,,,,,,,-1.022,0.043,-0.048,0
BD-06 1339 c,Radial Velocity,125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,0.310000,0.110000,-0.110000,0,0.17000,0.03000,-0.03000,0,,,,,,,,,4324.00,100.00,-100.00,0,0.70,,,0,,,,,,,,,-1.022,0.043,-0.048,0
BD-08 2823 b,Radial Velocity,5.60000000,0.02000000,-0.02000000,0,0.060000,0.000000,0.000000,0,0.150000,0.150000,-0.150000,0,0.04000,0.01000,-0.01000,0,,,,0,,,,0,4816.00,114.00,-114.00,0,0.50,0.26,-0.26,0,0.71,0.04,-0.04,0,,,,0,,,,0
BD-08 2823 c,Radial Velocity,237.60000000,1.50000000,-1.50000000,0,0.680000,0.020000,-0.020000,0,0.190000,0.090000,-0.090000,0,0.33000,0.03000,-0.03000,0,,,,,,,,,4816.00,114.00,-114.00,0,0.50,0.26,-0.26,0,0.71,0.04,-0.04,0,,,,,,,,0
BD-10 3166 b,Radial Velocity,3.48777000,0.00011000,-0.00011000,0,0.040000,0.000000,0.000000,0,0.020000,0.020000,-0.020000,0,0.59000,0.07000,-0.07000,0,,,,0,,,,0,5393.00,44.00,-44.00,0,1.47,0.24,-0.24,0,0.91,0.04,-0.04,0,,,,0,,,,0
BD-11 4672 b,Radial Velocity,1667.00000000,33.00000000,-31.00000000,0,2.280000,0.070000,-0.070000,0,0.050000,0.060000,-0.040000,0,0.53000,0.05000,-0.05000,0,,,,,,,,,4475.00,100.00,-100.00,0,0.57,0.01,-0.01,0,0.52,0.02,-0.02,0,,,,,,,,
BD-13 2130 b,Radial Velocity,714.29999000,5.30000000,-5.30000000,0,1.660000,0.120000,-0.120000,0,0.210000,0.070000,-0.070000,0,9.78000,4.56000,-4.56000,0,,,,0,,,,0,4545.00,71.00,-71.00,0,2.12,1.47,-1.47,0,19.17,4.96,-4.96,0,,,,0,,,,0
BD-17 63 b,Radial Velocity,655.59998000,0.60000000,-0.60000000,0,1.340000,0.020000,-0.020000,0,0.540000,0.000000,0.000000,0,2.85000,1.16000,-1.16000,0,,,,0,,,,0,4665.00,120.00,-120.00,0,0.31,0.19,-0.19,0,0.74,0.04,-0.04,0,,,,0,,,,0
CFBDSIR J145829+101343 b,Imaging,10037.50000000,2737.50000000,-2737.50000000,0,2.600000,0.300000,-0.300000,0,,,,,10.50000,4.50000,-4.50000,0,,,,,,,,,580.50,24.50,-24.50,0,0.02,0.01,-0.01,0,,,,,370,40,-40,0,,,,
CHXR 73 b,Imaging,,,,,210.000000,,,0,,,,,12.56900,8.37900,-5.23700,0,,,,,,,,,,,,,0.35,,,0,,,,,,,,,,,,
CT Cha b,Imaging,,,,,440.000000,,,0,,,,,17.00000,6.00000,-6.00000,0,2.200,0.810,-0.600,0,,,,,,,,,,,,,,,,,2600,250,-250,0,,,,
CoRoT-1 b,Transit,1.50895570,0.00000640,-0.00000640,0,,,,,0.000000,,,0,1.03000,0.12000,-0.12000,0,1.490,0.080,-0.080,0,0.38000,0.05000,-0.05000,0,5950.00,150.00,-150.00,0,0.95,0.15,-0.15,0,1.11,0.05,-0.05,0,1898,50,-50,0,,,,
CoRoT-10 b,Transit,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,0.530000,0.040000,-0.040000,0,2.75000,0.16000,-0.16000,0,0.970,0.070,-0.070,0,3.70000,0.83000,-0.83000,0,5075.00,75.00,-75.00,0,0.89,0.05,-0.05,0,0.79,0.05,-0.05,0,600,23,-23,0,,,,
CoRoT-11 b,Transit,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,0.000000,,,0,2.33000,0.34000,-0.34000,0,1.430,0.030,-0.030,0,0.99000,0.15000,-0.15000,0,6440.00,120.00,-120.00,0,1.27,0.05,-0.05,0,1.37,0.03,-0.03,0,1657,55,-55,0,,,,
CoRoT-12 b,Transit,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,0.070000,0.063000,-0.042000,0,0.91700,0.07000,-0.06500,0,1.440,0.130,-0.130,0,0.41100,0.12900,-0.09400,0,5675.00,80.00,-80.00,0,1.08,0.08,-0.07,0,1.12,0.10,-0.09,0,1442,58,-58,0,,,,
CoRoT-13 b,Transit,4.03519000,0.00003000,-0.00003000,0,0.051000,0.003100,-0.003100,0,0.000000,,,0,1.30800,0.06600,-0.06600,0,0.885,0.014,-0.014,0,2.34000,0.23000,-0.23000,0,5945.00,90.00,-90.00,0,1.09,0.02,-0.02,0,1.01,0.03,-0.03,0,1700,,,0,,,,
